公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
城市传媒,2017-12-31,4.55亿,-518万,2.47亿,2.14亿,19.7亿
城市传媒,2016-12-31,4.02亿,-455万,2.21亿,1.86亿,17.7亿
渤海轮渡,2018-12-31,1.68亿,6039万,2689万,8042万,16.7亿
渤海轮渡,2017-12-31,7694万,-1855万,2826万,6723万,15.1亿
渤海轮渡,2016-12-31,1.26亿,4820万,2138万,5650万,12.2亿
泰和科技,2018-12-31,1.29亿,-242万,8125万,5037万,12.4亿
泰和科技,2017-12-31,1.30亿,755万,8762万,3481万,11.2亿
泰和科技,2016-12-31,9826万,-479万,6593万,3711万,8.97亿
银座股份,2018-12-31,22.0亿,2.20亿,16.9亿,2.89亿,132亿
银座股份,2017-12-31,22.1亿,2.41亿,16.6亿,3.10亿,130亿
银座股份,2016-12-31,22.3亿,2.68亿,16.4亿,3.22亿,128亿
朗进科技,2018-12-31,6606万,676万,3416万,2514万,4.74亿
朗进科技,2017-12-31,5942万,294万,2962万,2686万,4.12亿
朗进科技,2016-12-31,4449万,231万,2127万,2091万,3.02亿
龙大肉食,2018-12-31,4.00亿,-404万,2.30亿,1.74亿,87.8亿
龙大肉食,2017-12-31,3.01亿,-1365万,1.63亿,1.52亿,65.7亿
龙大肉食,2016-12-31,2.50亿,-423万,1.32亿,1.23亿,54.5亿
九阳股份,2018-12-31,16.8亿,-1079万,13.8亿,3.10亿,81.7亿
九阳股份,2017-12-31,13.8亿,-49.1万,10.9亿,2.87亿,72.5亿
九阳股份,2016-12-31,15.9亿,-863万,11.0亿,4.99亿,73.1亿
ST亚星,2018-12-31,1.96亿,6907万,6412万,6297万,20.1亿
