电话销售无责任底薪3000,不限,大专,全职,不需要融资,西安,3k-6k,鑫凯知识产权
新媒体运营,3-5年,本科,全职,天使轮,西安,6k-8k,英卓
软件测试工程师,5-10年,本科,全职,A轮,西安,8k-10k,数尊
销售经理,1-3年,本科,全职,A轮,西安,6k-12k,Wisdom Garden
数据专员,1-3年,本科,全职,不需要融资,西安,4k-6k,境商地产
销售代表,不限,大专,全职,不需要融资,西安,6k-8k,西安巴斯光年软件
销售经理,1-3年,大专,全职,A轮,西安,7k-12k,西安小巨人
市场专员,1-3年,不限,全职,未融资,西安,4k-8k,铃兰早教
有声频道运营编辑,1-3年,不限,全职,A轮,西安,3k-5k,每天读点故事
电商运营/底薪+绩效+提成/师徒制/晋升快,不限,大专,全职,不需要融资,西安,4k-8k,丰迈电商
销售代表4000+,不限,大专,全职,不需要融资,西安,3k-6k,鑫凯知识产权
高级java开发工程师,3-5年,本科,全职,天使轮,西安,13k-18k,英卓
全栈工程师,1-3年,不限,全职,A轮,西安,6k-12k,Wisdom Garden
活动策划,1-3年,大专,全职,不需要融资,西安,4k-7k,境商地产
舆情分析师,1-3年,本科,全职,A轮,西安,5k-8k,西安小巨人
产品交付经理,1年以下,不限,全职,天使轮,西安,3k-5k,欧卡智能科技
销售顾问,不限,大专,全职,不需要融资,西安,6k-12k,贝壳找房
连载/长篇小说/网文责任编辑,不限,本科,全职,A轮,西安,3k-6k,每天读点故事
大客户销售经理,5-10年,本科,全职,上市公司,西安,15k-30k,京东集团
安卓开发,不限,大专,全职,不需要融资,西安,6k-12k,耿游
射频工程师,3-5年,本科,全职,未融资,西安,13k-20k,西安朗晟法律服务有限公司
渠道运营专员,不限,大专,全职,未融资,西安,3k-6k,滔米科技
网页设计师/美工,1-3年,本科,全职,未融资,西安,4k-6k,志趣信息
上市企业销售精英,不限,大专,全职,上市公司,西安,3k-6k,中企动力
软件架构师,5-10年,本科,全职,天使轮,西安,20k-30k,英卓
Java,3-5年,不限,全职,A轮,西安,7k-14k,Wisdom Garden
