信息安全工程师,北京蓝汛通信技术有限责任公司,0.8-1万/月,北京-朝阳区|1年经验|大专|招1人|05-14发布,五险一金|通讯补贴|绩效奖金|补充医疗保险
电气工程师,北京蓝汛通信技术有限责任公司,1-1.5万/月,北京-朝阳区|5-7年经验|本科|招1人|05-14发布,周末双休|弹性工作|节日福利|带薪年假|绩效奖金|免费班车|通讯补贴
IDC基础设施总经理,北京蓝汛通信技术有限责任公司,5-7万/月,北京-朝阳区|8-9年经验|本科|招1人|05-14发布|工程管理,五险一金|通讯补贴|专业培训|弹性工作|股票期权
网络技术工程师,北京蓝汛通信技术有限责任公司,1-1.5万/月,北京-朝阳区|2年经验|本科|招1人|05-14发布,五险一金|通讯补贴|专业培训|弹性工作|股票期权
总部信息科技中心业务支持工程师（生产、物流、销售）(职位编号：yili013629),内蒙古伊利实业集团股份有限公司,5-8千/月,呼和浩特|2年经验|本科|招5人|05-14发布,五险一金|免费班车|年终奖金
技术支持工程师(职位编号：0002),北京紫通科技有限责任公司,0.6-1.5万/月,北京-海淀区|1年经验|本科|招3人|05-14发布|计算机科学与技术 信息安全,周末双休|带薪年假|五险一金|绩效奖金|节日福利|专业培训|交通补贴|餐饮补贴|通讯补贴|员工旅游
网络安全工程师,北京紫通科技有限责任公司,0.8-1万/月,北京-海淀区|1年经验|大专|招3人|05-14发布,五险一金|餐饮补贴|通讯补贴|绩效奖金|年终奖金|定期体检|专业培训|员工旅游|带薪年假
DBA工程师,北京多来点信息技术有限公司,1.5-2万/月,北京-西城区|3-4年经验|本科|招若干人|05-14发布|计算机科学与技术 计算机工程,五险一金|年终奖金|带薪年假|节日福利|周末双休|技术大牛|地铁周边
渠道实施工程师,北京多来点信息技术有限公司,0.6-1万/月,北京-西城区|2年经验|大专|招10人|05-14发布,五险一金|带薪年假|节日福利|绩效奖金|双休|地铁周边
技术支持/售后技术支持工程师,北京多来点信息技术有限公司,0.6-1万/月,北京-西城区|2年经验|大专|招10人|05-14发布,五险一金|带薪年假|节日福利|绩效奖金|双休|地铁周边
Java开发工程师（兰州）,北京海顿中科技术有限公司,0.6-1万/月,兰州|2年经验|本科|招2人|05-14发布,五险一金|补充医疗保险|员工旅游|餐饮补贴|定期体检
Java高级开发工程师（内部系统）,北京多来点信息技术有限公司,1.5-3万/月,北京-西城区|3-4年经验|本科|招2人|05-14发布,五险一金|年终奖金|带薪年假|节日福利|周末双休|地铁周边
Linux操作系统研发工程师,中标软件有限公司,0.8-2万/月,北京-海淀区|无工作经验|本科|招5人|05-14发布,
