label,position
7,"MYSQL,数据库,及,开源,组件"
7,数据库
7,"数据库,管理"
7,"数据库,开发,实习生,烟草,业务,线"
7,数据库
7,"开源,数据库,管理,岗"
7,"数据库,运维,驻场"
7,"驻场,数据库,运维"
7,"高级,数据库,运维,人员"
7,数据库
7,数据库
7,"数据库,DBA"
7,"数据库,开发"
7,"数据库,大学,讲师"
7,数据库
7,"数据库,开发, ,SQL"
7,数据库
7,数据库
8,"中,级数,仓,开发"
8,"数据,开发"
8,"资深,数据,平台,开发,西安"
8,"PHP,高级,开发"
8,"高级,Java"
8,"中级,Java"
8,"初级,Java"
8,JAVA
8,"后,端,开发"
8,"JAVA, ,Web,开发"
8,"Java,开发"
8,"java,开发,岗位"
8,"Java,开发"
8,"Java,开发,驻场"
8,"Hadoop,开发"
8,"资料,开发"
8,"Java,架构师"
8,"强,Docker,高级,开发"
8,"java,界面,开发"
8,"hadoop,开发"
8,"Web,开发,西安,ZY"
8,"核算,开发,岗"
8,"Devops,开发,Linux,Python,Docker"
8,"微软,CRM,开发"
8,".,NET,开发"
8,"运维,开发"
8,"开发,运维"
8,"JAVA,软件"
8,java
8,"Java,开发"
8,"Web,开发"
8,"Java,开发"
8,"Java,运维"
8,"Java,高级,开发"
8,"Java,高级,开发"
8,"高级,JAVA,开发,西安"
8,"MBD,开发"
8,"PHP,开发,程序员"
8,"云,服务,开发"
8,"Java,开发"
8,"Java,开发,西安"
8,"Java,开发"
8,"C,开发,实习,初级,中级"
8,"云,服务,开发"
8,"高级,Java,西安"
8,"数据,开发"
8,"PHP,高级,开发"
8,"Java,开发"
8,"全栈,开发"
8,"Java,高级,开发"
8,"Java,高级,开发"
8,"开发,Devops,方向"
8,".,net, ,开发"
8,"Web,开发,西安,清洁,能源"
8,"Java,高级,开发,西安"
8,"Python,开发"
8,"数据,开发"
8,"高级,java,开发,云,服务"
8,"Python,高级,开发"
8,"Python, ,后,端,开发,J11843"
8,"Java,开发"
8,"C++,开发,应届生"
8,"Java,开发,贵阳"
8,"Java, ,研发"
8,"云,平台,开发"
8,"Java,架构师"
8,"运维,开发"
8,"运维,开发"
8,"Linux,运维,开发"
8,"JAVA,运维"
8,"DevOps,开发,运维岗"
8,"Linux,开发,运维"
9,"技术部,经理,月"
9,销售
9,"A61,技术支持,维护,经理"
9,"市场策划,经理"
9,"市场,销售,经理"
9,"销售,经理"
9,销售
9,"技术,经理"
9,"研发,经理, ,MJ001095"
9,"高级,商务,经理,01"
9,"实施,经理"
9,"区域,销售,经理"
9,"销售,经理"
9,"产品,经理"
9,"销售,经理,正信,电气"
9,"后期制作,制作,经理"
9,销售
9,"研发,经理"
9,"产品,经理,+,+,丰厚,奖金"
9,"产品,经理,西安"
9,"产品,经理"
9,"销售,经理"
9,"新,媒体,营销,经理"
9,"电力,运维,经理"
9,"售前,经理"
9,"光伏,销售,经理,\,总监"
9,销售
9,"电商,运营,经理"
9,"区域,销售,经理,全国,各,办事处"
9,"区域,销售,经理"
9,"实施,经理"
