售前工程师,上海艾飞能源科技有限公司,0.8-1万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-17发布,五险一金|专业培训|定期体检|员工旅游
Java开发工程师,美能国际生物科技（深圳）有限公司,0.8-1.6万/月,西安-高新技术产业开发区,3-4年经验,本科,招若干人,05-17发布,年终分红|股票期权|每年多次调薪|绩效奖金|出国游|大牛带队|五险一金
销售经理（酒店方向）(职位编号：005),陕西尚弘信息科技有限公司,0.5-1.5万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-17发布,五险一金|交通补贴|餐饮补贴|通讯补贴|专业培训|员工旅游|弹性工作|绩效奖金|年终奖金|扁平管理
策略发展总监/总助,西安启望计算机系统工程有限责任公司,1-2万/月,西安,无工作经验,本科,招1人,05-17发布,五险一金|通讯补贴|专业培训|绩效奖金|年终奖金|交通补贴
数据运营主管,西安诚优网络科技有限责任公司,6-8千/月,西安-雁塔区,3-4年经验,本科,招1人,05-17发布,五险一金|员工旅游|定期体检|年终奖金|绩效奖金|周末双休|带薪年假|全勤奖
服务器运维工程师,陕西省信息总公司,4.5-6千/月,西安-莲湖区,2年经验,大专,招5人,05-17发布,五险一金
对日软件工程师,大连清峰网络科技有限公司,15-45万/年,陕西省,1年经验,大专,招2人,05-08发布,绩效奖金|年终奖金|弹性工作|专业培训|出国机会
销售/市场拓展/大客户销售（西安）,重庆猪八戒网络有限公司,0.7-1.2万/月,西安,3-4年经验,大专,招2人,05-09发布,五险一金|交通补贴|餐饮补贴|岗位晋升|补充医疗保险|通讯补贴|专业培训|绩效奖金|带薪年假|电脑补贴车贴
交付工程师,北京西骏数据科技股份有限公司,0.8-1万/月,西安-新城区,3-4年经验,本科,招2人,05-09发布,五险一金|员工旅游|交通补贴|餐饮补贴|通讯补贴|绩效奖金|股票期权|弹性工作|专业培训|定期体检
算法工程师（德银控股.西安/上海）,陕西天行健车联网信息技术有限公司,1-1.5万/月,西安-经济技术开发区,2年经验,本科,招1人,05-09发布,五险一金|补充医疗保险|交通补贴|餐饮补贴|通讯补贴|专业培训|绩效奖金|年终奖金|定期体检|做五休二
人工智能-初级数据工程师,西安知象光电科技有限公司,4.5-8千/月,西安,无工作经验,本科,招2人,05-10发布,五险一金|员工旅游|绩效奖金|年终奖金|定期体检|出国机会
科技路区链家房产销售/无责底薪3000,西安链家宝业房地产经纪有限公司第十一分公司,0.8-1万/月,西安,无工作经验,大专,招9人,05-11发布,绩效奖金|节日福利|专业培训|弹性工作|带薪年假|五险一金|员工旅游
高级客户经理,新华人寿保险股份有限公司西安市雁塔支公司,0.8-1.5万/月,西安-雁塔区,3-4年经验,大专,招2人,05-10发布,带薪年假|高提成|奖金|年终奖|底薪|周末双休
首席技术官,梵界信息技术（上海）股份有限公司西安分公司,1.5-2万/月,西安-碑林区,8-9年经验,硕士,招1人,05-11发布,五险一金|周末双休|带薪年假|生日礼物|过节礼品
数据工程师（LT13whx）,北京东方国信科技股份有限公司,0.5-1万/月,西安,1年经验,本科,招2人,05-12发布,五险一金|年终奖金|定期体检|专业培训
JAVA软件开发工程师,新蛋信息技术（西安）有限公司,0.6-1.2万/月,西安,2年经验,招若干人,05-13发布,英语良好,五险一金|补充医疗保险|员工旅游|餐饮补贴|专业培训|出国机会|绩效奖金|年终奖金|弹性工作|定期体检
直聘法务1年经验,西安云选智能科技有限公司,3-4.5千/月,西安-新城区,1年经验,大专,招2人,05-12发布,
Java中级开发工程师（质量分析管理平台）,通力凯顿（北京）系统集成有限公司,0.8-2万/月,西安,2年经验,本科,招1人,05-13发布,五险一金|补充医疗保险|餐饮补贴|弹性工作|定期体检
IT售前工程师,西安和瑞智能科技有限公司,6-8千/月,西安-雁塔区,3-4年经验,本科,招3人,05-13发布,五险一金|周末双休|定期体检|员工旅游|年终奖金
数据分析师,北京蝉鸣信息科技有限公司,0.8-1万/月,西安-雁塔区,3-4年经验,本科,招1人,05-13发布,五险一金|绩效奖金|节日福利|加班补贴|餐饮补贴|周末双休|弹性工作|带薪年假|专业培训|定期体检
人事主管,西安君润大数据科技有限公司,4-6千/月,西安-雁塔区,2年经验,大专,招1人,04-26发布,五险一金|员工旅游|出国机会|绩效奖金|补充医疗保险|专业培训
WebGL研发工程师,西安速度时空大数据科技有限公司,1-1.5万/月,西安-雁塔区,2年经验,本科,招2人,05-09发布,五险一金|补充医疗保险|专业培训|年终奖金
